Distance,Average Speed,Average Heart Rate,Max Speed,Max Heart Rate,Idle Time,Moving Time,Relative Effort
1.62,3.814342737197876,137.49176025390625,4.571997165679932,152.0,0,426,2.0
9.67,3.5661792755126958,134.96490478515625,5.012109279632568,149.0,231,2714,11.0
1.86,3.70079517364502,132.7156982421875,4.460000038146973,151.0,0,503,2.0
6.45,3.5076615810394287,146.6557617,4.723307132720947,171.0,138,1839,22.0
10.81,4.001965999603272,153.81407165527344,5.691568851470947,169.0,56,2701,45.0
0.42,5.266296387,118.06172943115234,6.696002006530762,139.0,0,81,0.0
2.89,3.4675090312957764,136.81129455566406,5.133984565734863,155.0,13,835,3.0
12.19,4.241279602050781,151.24061584472656,6.653482913970947,174.0,60,2876,40.0
8.46,4.167265892028809,140.84913635253906,16.414112091064453,163.0,178,2030,13.0
12.99,3.5850207805633545,144.97792053222656,5.159999847412109,162.0,45,3625,28.0
3.29,3.611997604370117,139.74862670898438,4.792016506195068,151.0,6,911,4.0
3.34,3.394715547561645,139.32044982910156,3.900000095367432,156.0,723,984,13.0
0.43,3.151449203491211,118.86154174804688,3.799999952316284,141.0,138,138,0.0
3.22,3.542217254638672,145.65093994140625,6.585693359,156.0,11,911,6.0
12.91,3.670676469802856,144.43101501464844,4.594042778015137,161.0,25,3517,34.0
6.74,3.744031190872192,174.74151611328125,4.599999904632568,197.0,0,1801,96.0
3.24,3.802300453186035,134.95887756347656,4.631103516,147.0,67,852,3.0
4.83,3.668558597564697,141.88087463378906,4.284284114837647,155.0,0,1318,8.0
3.23,3.750998735427856,130.91734313964844,4.480029106140137,152.0,0,861,3.0
21.12,4.200479030609131,172.1759796142578,5.509765625,190.0,0,5030,174.0
0.78,2.883025884628296,139.4253692626953,3.830004930496216,151.0,0,271,1.0
8.09,3.830387830734253,145.67520141601562,5.170019626617432,158.0,49,2114,20.0
8.11,3.751765966415405,150.40008544921875,5.257958889007568,164.0,89,2163,29.0
0.19,6.009375095367432,136.80645751953125,7.699999809265137,153.0,0,32,0.0
13.7,3.9462499618530273,151.2799835205078,6.393945217132568,171.0,55,3472,47.0
12.95,3.776769876480103,156.95652770996094,5.208740234,178.0,453,3430,69.0
9.67,3.5541932582855225,141.12191772460938,4.933268070220947,166.0,3,2721,18.0
8.24,3.573234796524048,138.19566345214844,4.375,155.0,0,2306,11.0
9.66,3.510127067565918,138.4936065673828,5.929980278015137,151.0,124,2753,12.0
30.59,3.9503228664398193,150.0651092529297,5.033984184265137,164.0,376,7744,105.0
12.91,3.954643249511719,153.1672821044922,7.179980278015137,175.0,172,3265,49.0
7.26,3.5800392627716064,134.10064697265625,4.541666507720947,149.0,80,2028,8.0
3.29,3.4212355613708496,140.45010375976562,4.562011719,152.0,5,963,5.0
6.45,3.6222333908081055,133.22415161132812,6.64666748,151.0,0,1782,7.0
15.3,4.157710075378418,148.98204040527344,7.952148438,174.0,1757,3681,45.0
9.67,3.490165948867798,141.4879150390625,4.361669063568115,156.0,159,2771,14.0
8.07,3.712565660476685,138.41644287109375,5.228027344,153.0,26,2175,10.0
12.88,3.7682037353515625,142.52005004882812,4.608316898345947,155.0,29,3418,18.0
3.24,3.245591163635254,153.2414551,5.400000095367432,171.0,0,998,17.0
0.2,7.228571415,95.32142639160156,10.199999809265137,103.0,0,28,0.0
0.55,6.130000114440918,107.84091186523438,8.699999809265137,124.0,805,90,0.0
7.25,3.821427107,142.10157775878906,4.621372699737549,159.0,24,1899,12.0
3.72,3.946017026901245,153.22808837890625,8.105021476745605,173.0,3,944,17.0
0.83,3.5232067108154297,130.1012725830078,4.228332996368408,144.0,0,237,0.0
6.44,3.7806451320648193,143.10916137695312,5.286010742,156.0,5,1705,12.0
16.91,3.8147802352905273,164.7324676513672,7.590006351470947,181.0,101,4435,124.0
12.88,4.038868427276611,157.00721740722656,5.304003715515137,175.0,42,3190,61.0
12.08,3.7865591049194336,141.5801239013672,4.495898246765137,172.0,503,3191,18.0
14.33,3.9130475521087646,159.32191467285156,4.375836849212647,177.0,221,3662,84.0
1.72,3.404319524765014,139.48915100097656,4.429992676,153.0,152,507,7.0
