Distance,Average Speed,Average Heart Rate,Max Speed,Max Heart Rate,Idle Time,Moving Time,Relative Effort
19.33,4.188483238220215,159.7823486328125,8.038281440734863,190.0,1443,4615,100.0
4.85,3.609100580215454,141.1020050048828,5.366015434265137,155.0,0,1345,9.0
8.09,4.992529392242432,159.3191375732422,6.986035346984863,184.0,0,1621,35.0
8.21,3.459477424621582,143.46163940429688,5.652866840362549,162.0,19,2373,15.0
1.61,3.334082603,127.90721893310548,4.116003513336182,137.0,6,485,1.0
3.51,3.926398038864136,172.45066833496094,4.762011528015137,185.0,34,894,31.0
7.25,3.702911138534546,151.49745178222656,4.599999904632568,177.0,145,1958,47.0
1.62,3.134161710739136,130.53892517089844,5.214013576507568,151.0,1,519,2.0
3.24,3.839420795440674,143.2836914,4.385009766,155.0,0,846,6.0
11.27,4.224829674,152.96665954589844,5.579980373382568,177.0,0,2669,43.0
12.88,3.886132717132568,162.34890747070312,5.154004096984863,185.0,12,3315,77.0
17.75,3.938331842422485,150.65135192871094,7.248046875,160.0,0,4508,75.0
9.7,3.950350046157837,150.21327209472656,4.603353023529053,164.0,5,2457,31.0
8.07,3.616753339767456,150.4014434814453,5.038174629211426,185.0,731,2233,52.0
16.11,4.150334835,155.04200744628906,7.28000021,175.0,962,3882,77.0
10.22,3.642144680023194,150.21731567382812,5.361914157867432,166.0,0,2807,38.0
1.62,3.5626373291015625,126.36044311523438,4.055998802185059,139.0,0,455,1.0
10.48,4.1427507400512695,161.3415069580078,5.339925289154053,174.0,0,2530,63.0
22.54,4.124666213989258,156.25709533691406,5.685937404632568,181.0,0,5465,99.0
11.32,3.583595037460327,148.08724975585938,4.627929688,168.0,73,3160,31.0
9.67,3.6992578506469727,143.43785095214844,4.508008003234863,156.0,36,2615,17.0
4.62,4.569555282592773,140.66433715820312,7.918017387390137,179.0,3969,1012,15.0
17.72,4.305685043334961,155.92974853515625,6.019999980926514,176.0,0,4116,84.0
22.54,3.6871981620788574,147.00294494628906,6.488085746765137,168.0,415,6114,59.0
0.71,3.137356758117676,134.7288818359375,4.5320000648498535,141.0,0,227,0.0
6.47,3.595447063446045,143.75291442871094,5.260000228881836,165.0,24,1801,15.0
8.86,3.5890936851501465,152.6415557861328,5.302050590515137,172.0,0,2471,37.0
16.15,4.160528182983398,148.19500732421875,6.011914253234863,170.0,0,3882,47.0
1.63,3.5336661338806152,140.39479064941406,4.383341312408447,154.0,0,461,2.0
1.62,3.878404855728149,131.9214324951172,4.889999866485596,145.0,0,420,1.0
3.09,3.725836515426636,146.0277099609375,4.400006771087647,162.0,3,831,8.0
3.22,3.749128818511963,143.09524536132812,4.348754883,157.0,0,861,6.0
0.3,7.135714054107666,143.8095245361328,9.199999809265137,166.0,0,42,0.0
3.23,3.722069025039673,146.9067840576172,5.380000114440918,159.0,0,870,10.0
7.46,3.623737812042236,147.46702575683594,4.5,165.0,17,2060,40.0
16.11,4.276147365570068,151.11813354492188,5.599999904632568,166.0,0,3769,60.0
0.37,2.9007811546325684,127.78125,3.400000095367432,141.0,0,128,0.0
3.23,3.5071582794189453,135.81039428710938,4.599999904632568,152.0,14,922,5.0
5.14,3.616961956,151.02671813964844,4.291666507720947,166.0,0,1422,21.0
6.45,3.890602350234986,134.32203674316406,5.079999923706055,153.0,29,1660,7.0
4.85,3.3579044342041016,137.7937774658203,4.248331546783447,155.0,0,1446,7.0
8.46,3.6773271560668954,138.19696044921875,4.573296546936035,155.0,166,2301,11.0
9.66,3.8609347343444815,155.8925781,5.458007813,171.0,17,2503,50.0
11.33,3.787908554077149,149.7447509765625,5.245995998382568,166.0,9,2993,35.0
12.88,3.643895387649536,157.03451538085938,4.457100868225098,179.0,105,3535,71.0
4.83,3.332272768,146.91995239257812,5.174023628234863,176.0,94,1452,15.0
16.09,3.828207015991211,151.18177795410156,5.538248538970947,173.0,248,4205,59.0
3.89,3.1040701866149902,131.03517150878906,5.440000057220459,141.0,5,1253,4.0
8.05,3.8121817111968994,141.91256713867188,4.600001811981201,153.0,23,2113,11.0
8.94,3.7454752922058105,151.1956024169922,23.480913162231445,179.0,186,2389,26.0
8.25,3.693313837051392,143.57814025878906,4.391683101654053,156.0,536,2236,15.0
1.63,3.42471694946289,119.83158111572266,4.198323726654053,136.0,3,477,1.0
11.28,3.544952869415283,131.93211364746094,4.893945217132568,145.0,0,3182,12.0
12.08,4.4830193519592285,150.2520751953125,7.837890625,168.0,126,2696,37.0
2.75,3.116013526916504,143.1200408935547,3.5128695964813232,156.0,0,883,7.0
3.32,3.665418386459351,139.40794372558594,4.599999904632568,153.0,0,908,9.0
9.67,3.639540910720825,142.46461486816406,5.21999979,153.0,957,2658,17.0
4.94,4.892739772796631,163.39663696289062,6.006005764007568,178.0,0,1011,28.0
